date,uniquekey,Complaint Type
11/7/2020,37,Noise - Commercial
11/7/2020,166,Noise - Street/Sidewalk
11/7/2020,1,Noise - Helicopter
11/7/2020,5,Noise - Park
11/7/2020,327,Noise - Residential
11/7/2020,70,Noise - Vehicle
11/6/2020,353,Noise - Vehicle
11/6/2020,1061,Noise - Residential
11/6/2020,2,Noise - House of Worship
11/6/2020,168,Noise - Commercial
11/6/2020,37,Noise - Park
11/6/2020,746,Noise - Street/Sidewalk
11/6/2020,88,Noise - Helicopter
11/6/2020,162,Noise
11/5/2020,626,Noise - Residential
11/5/2020,630,Noise - Vehicle
11/5/2020,142,Noise - Commercial
11/5/2020,15,Noise - Park
11/5/2020,450,Noise - Street/Sidewalk
11/5/2020,174,Noise
11/5/2020,113,Noise - Helicopter
11/4/2020,546,Noise - Vehicle
11/4/2020,614,Noise - Residential
11/4/2020,2,Noise - House of Worship
11/4/2020,94,Noise - Commercial
11/4/2020,347,Noise - Street/Sidewalk
11/4/2020,147,Noise
11/4/2020,106,Noise - Helicopter
11/4/2020,11,Noise - Park
11/3/2020,48,Noise - Commercial
11/3/2020,119,Noise
11/3/2020,39,Noise - Helicopter
11/3/2020,193,Noise - Street/Sidewalk
11/3/2020,2,Noise - Park
11/3/2020,131,Noise - Vehicle
11/3/2020,943,Noise - Residential
11/2/2020,536,Noise - Residential
11/2/2020,113,Noise - Vehicle
11/2/2020,52,Noise - Commercial
11/2/2020,143,Noise - Street/Sidewalk
11/2/2020,123,Noise
11/2/2020,7,Noise - Helicopter
11/2/2020,5,Noise - Park
11/2/2020,1,Noise - House of Worship
11/1/2020,240,Noise - Vehicle
11/1/2020,2172,Noise - Residential
11/1/2020,2,Noise - House of Worship
11/1/2020,334,Noise - Street/Sidewalk
11/1/2020,33,Noise - Helicopter
11/1/2020,91,Noise
11/1/2020,12,Noise - Park
11/1/2020,182,Noise - Commercial
10/31/2020,232,Noise - Vehicle
10/31/2020,1950,Noise - Residential
10/31/2020,3,Noise - House of Worship
10/31/2020,244,Noise - Commercial
10/31/2020,34,Noise - Park
10/31/2020,58,Noise - Helicopter
10/31/2020,108,Noise
10/31/2020,398,Noise - Street/Sidewalk
10/30/2020,1,Noise - Park
10/30/2020,148,Noise - Street/Sidewalk
10/30/2020,108,Noise
10/30/2020,15,Noise - Helicopter
